HH,AREA,GEN,Age at last birthday (Years),AGE,EMP,OCC,EDU,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
A008-09,1,1,38,3,1,8,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
A008-09,1,2,37,3,4,0,3,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1
A008-10,1,1,63,3,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A008-10,1,2,60,3,4,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A008-11,1,2,44,3,1,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
A008-11,1,1,19,2,5,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
A008-11,1,2,10,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A008-11,1,1,20,2,3,0,3,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
A008-12,1,1,38,3,1,8,3,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
A008-12,1,1,26,3,3,0,3,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
A008-12,1,2,63,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
